"订单编号","支付单号","支付详情","买家应付货款","买家应付邮费","买家支付积分","总金额","返点积分","买家实际支付金额","买家实际支付积分","订单状态","买家留言","运送方式","订单创建时间","订单付款时间 ","宝贝标题 ","宝贝种类 ","物流单号 ","物流公司","订单备注","宝贝总数量","店铺Id","店铺名称","订单关闭原因","卖家服务费","买家服务费","发票抬头","是否手机订单","分阶段订单信息","特权订金订单id","是否上传合同照片","是否上传小票","是否代付","定金排名","修改后的sku","异常信息","天猫卡券抵扣","集分宝抵扣","是否是O2O交易","新零售交易类型","新零售导购门店名称","新零售导购门店id","新零售发货门店名称","新零售发货门店id","退款金额","预约门店","确认收货时间","打款商家金额","含应开票给个人的个人红包","是否信用购","体验期结束时间","前N有礼","配送类型","直播返现状态","返现金额","延迟发货赔付金额","新零售成交门店昵称","新零售成交门店id","新零售成交经销商id ","预售订单","发货时间","商家备忘","主订单编号"
="1838228160396469882",="2023030622001194911421082812","支付方式：支付宝，支付单号：2023030622001194911421082812，金额：502.00；","490.00","12.00","0","502.00","0","502.00","0","买家已付款，等待卖家发货","null","快递","2023-03-06 21:50:47","2023-03-06 21:51:06","Nike耐克 Air Force 1 Low 减震防滑 运动休闲鞋 白灰 CW5909-100，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'C 450 佛山阿蔡（打钱才发货）","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="C 450 佛山阿蔡（打钱才发货）",=""
="1839024806679425393",="2023030622001180361424501886","支付方式：支付宝，支付单号：2023030622001180361424501886，金额：12.00；","12.00","0.00","0","12.00","0","12.00","0","买家已付款，等待卖家发货","null","快递","2023-03-06 21:41:31","2023-03-06 21:41:35","邮费链接","1","","null","'P 680 Y_  DC0774-160 36.5 P  790  终结者  DC0774-160 41","12","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="P 680 Y_  DC0774-160 36.5 P  790  终结者  DC0774-160 41",=""
="1839003531741966380",="2023030622001156531443493377","支付方式：支付宝，支付单号：2023030622001156531443493377，金额：235.00；","223.00","12.00","0","235.00","0","235.00","0","买家已付款，等待卖家发货","null","快递","2023-03-06 21:40:37","2023-03-06 21:40:44","Nike耐克 Waffle One 轻质 运动休闲 低帮舒适 跑步鞋 DJ9640-200，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'null","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="null",=""
="1838215020741425393",="2023030622001180361424244334","支付方式：支付宝，支付单号：2023030622001180361424244334，金额：1575.00；","1563.00","12.00","0","1575.00","0","1575.00","0","买家已付款，等待卖家发货","null","快递","2023-03-06 21:37:29","2023-03-06 21:39:35","Air Jordan 1 Low AJ1 白绿 低帮 休闲复时尚古篮球鞋 DC0774-132，Air Jordan 1 Low AJ1 白绿 低帮 休闲复时尚古篮球鞋 DC0774-132，买家秀征集赢奖励！！！ ~ 收货联系客服","3","","null","'null","3","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="null",=""
="3242429066249602263",="2023030622001179861455669730","支付方式：支付宝，支付单号：2023030622001179861455669730，金额：552.00；","540.00","12.00","0","552.00","0","552.00","0","买家已付款，等待卖家发货","null","快递","2023-03-06 21:03:07","2023-03-06 21:03:18","Nike耐克 Dunk Low 轻便耐磨 复古运动休闲板鞋 灰白黑DQ0380-001，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'J 510 辣条up","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="J 510 辣条up",=""
="1838961842761598167",="2023030622001132691418942213","支付方式：支付宝，支付单号：2023030622001132691418942213，金额：282.00；","270.00","12.00","0","282.00","0","282.00","0","买家已付款，等待卖家发货","null","快递","2023-03-06 20:38:23","2023-03-06 20:38:29","Nike耐克 Waffle One 轻质 运动休闲 低帮舒适 跑步鞋 DJ9640-200，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'null","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="null",=""
="1838142012048421369",="2023030622001108681450824381","支付方式：支付宝，支付单号：2023030622001108681450824381，金额：479.00；","467.00","12.00","0","479.00","0","479.00","0","买家已付款，等待卖家发货","null","快递","2023-03-06 20:22:46","2023-03-06 20:22:56","Nike Air Zoom Pegasus 38 减震舒适 运动跑步鞋 黑白 CW7356-002","1","","null","'C 440 亦","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="C 440 亦",=""
="1838136324140832878",="2023030622001140071412790379","支付方式：支付宝，支付单号：2023030622001140071412790379，金额：552.00；","540.00","12.00","0","552.00","0","552.00","0","卖家已发货，等待买家确认","null","快递","2023-03-06 20:17:07","2023-03-06 20:17:27","Nike耐克 Dunk High时尚防滑 高帮运动休闲板鞋 酒红色DD1869-601","1","No:SF1121528847724","顺丰速运","'p 510顺  梵高","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 22:33:11",="p 510顺  梵高",=""
="3241370592532440006",="2023030622001188861459173938","支付方式：支付宝，支付单号：2023030622001188861459173938，金额：482.00；","470.00","12.00","0","482.00","0","482.00","0","买家已付款，等待卖家发货","null","快递","2023-03-06 19:32:27","2023-03-06 19:33:01","Nike Air Force 1 low AF1 米黄绿 系带 低帮 潮流板鞋DQ5085-111，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="",=""
="1838884370526572871",="2023030622001145131409329605","支付方式：支付宝，支付单号：2023030622001145131409329605，金额：502.00；","490.00","12.00","0","502.00","0","502.00","0","买家已付款，等待卖家发货","null","快递","2023-03-06 19:16:26","2023-03-06 19:23:56","Nike Air Force 1 Low AF1白绿 潮流休闲舒适经典板鞋 DX1156-100","1","","null","'C 465 枫继续吹","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="C 465 枫继续吹",=""
